Iteration	likelihood	prior	acceptance	tree	lambda1	lambda2	lambda3	mu1	mu2	mu3	q12	q13	q21	q23	q31	q32	g_lamb	g_mu	g_q	
20000	 -390.817293960349	 14.9844263126384	 0.395363636363636	 1	 0.114552146518719	 0.146590940026676	 0.147058228440109	 0.00650833418511714	 0.0447336595199	 0.0228652951800326	 0.0130703053079815	 0.0237878628422926	 0.00212698743039178	 0.000392853604910591	 0.000461424058137085	 0.00263641545179015	 0.0155835878011176	 0.0578148677233875	 0.0245309759158241	 
22000	 -389.004052887997	 27.6506097121169	 0.397833333333333	 1	 0.166980354150132	 0.0940247954196342	 0.186698796213431	 0.0539129097233247	 0.00532231471701154	 0.0435656261169002	 0.00192040445687708	 0.00589547176926363	 0.000196056824354498	 0.000377859963563201	 0.00121571481997261	 0.00234602464073315	 0.0815775486203237	 0.198813838041729	 0.00126888464596513	 
24000	 -391.839559544768	 28.3067642078209	 0.3975	 1	 0.143289483780486	 0.0667880314786861	 0.154203478378978	 0.0537231684704524	 0.00702666389491238	 0.0284539905344128	 0.00169149107911399	 0.000588815893974194	 0.000806143878251617	 0.0063702006024614	 0.000459783964316175	 0.0113982362695504	 0.122588121423613	 0.0679417182772619	 0.00228050504368803	 
26000	 -390.64460431588	 25.6290826958929	 0.399821428571429	 1	 0.128882252578296	 0.18645099794629	 0.199948848522962	 0.0515536413323251	 0.0741618549684288	 0.0411610507697009	 0.000600377678500291	 0.0128569637166461	 0.000733670016634512	 3.56957472698769e-05	 0.000490919604278874	 0.0138006168074547	 0.231341769936959	 0.074702797759413	 0.000539915466072927	 
28000	 -386.712557400483	 22.9448184895221	 0.3989	 1	 0.211656912958	 0.114400789150482	 0.1891313672346	 0.157105169335248	 0.0121469736809275	 0.0442132992376682	 0.00942672729712018	 0.00181060109561039	 0.00164342028407831	 0.00502437840982769	 0.000978028292366355	 0.00524657828569909	 0.227936470846266	 0.0688488444368895	 0.00687945883195143	 
30000	 -390.122552999937	 23.6524343321518	 0.3979375	 1	 0.166013494248627	 0.145145399107582	 0.190354956440308	 0.15101873972477	 0.104016963851279	 0.070974167017436	 0.000142860048093472	 0.00206097943909212	 0.00287646416768397	 0.0102853239688728	 0.00187131247992358	 0.00337811185286066	 0.292872661381733	 0.0729182748621204	 0.00198676725802954	 
32000	 -389.514998439781	 21.9285496875098	 0.398588235294118	 1	 0.0812280991811019	 0.133794325186316	 0.133825557913783	 0.0362739788524189	 0.0226854777898537	 0.00503154554369138	 0.0146978494271042	 0.00313751610431211	 0.0023626459310907	 0.0304050266010399	 0.000464244082717243	 0.000841825503238245	 0.177752006085017	 0.00295928815389811	 0.00779459746267925	 
34000	 -386.23165408125	 21.7643514886013	 0.398055555555556	 1	 0.179639723653915	 0.111048874471185	 0.151132799137526	 0.0969715909529989	 0.00617077275286644	 0.00539994631533247	 0.00822972377557326	 0.00361963957811065	 9.61169744231639e-05	 0.028793947441243	 0.000530618538490896	 0.000411264012791786	 0.147339184961007	 0.169558324199038	 0.00422527963639344	 
36000	 -387.941051315832	 20.0636788556209	 0.396842105263158	 1	 0.233517565641478	 0.132108604716544	 0.169216726357157	 0.155237692688135	 0.0273536573430403	 0.0135345653379941	 0.00838096672504438	 0.00242683446387087	 0.00676176060709527	 0.00368650333026494	 0.00308653681806423	 0.0030898654903165	 0.360981210678659	 0.26439165150642	 0.00635511422781389	 
38000	 -386.760721271382	 21.5350206037861	 0.396	 1	 0.260835462247187	 0.10838556968507	 0.16325638929132	 0.221774509728669	 0.00372380173291087	 0.00530334898456551	 0.00150374749749182	 0.000270359846236097	 0.0392365798228556	 0.0145541000922035	 0.00186907419176973	 0.00065892345113222	 0.15457950459473	 0.0358844292568148	 0.00119485916904532	 
40000	 -389.976012556776	 27.4101329861544	 0.396904761904762	 1	 0.189636461515044	 0.167252012319655	 0.185507171290741	 0.0432687986072093	 0.0971101433936446	 0.00864744815763711	 0.000195213853325056	 0.000823389980715763	 0.00243308670150984	 0.00426680154544718	 0.00189103866446387	 0.00594534075125789	 0.116083526944093	 0.0531772470253282	 0.00192894496958873	 
42000	 -387.482480392723	 28.1538031993463	 0.396022727272727	 1	 0.170563488418431	 0.180610153458248	 0.157116492276431	 0.165056578599024	 0.0467543275145996	 0.00545776833388702	 0.00152625910428767	 0.00319309246195855	 0.000174575218114856	 0.00186223841338077	 1.53040590017535e-05	 0.00496787517344167	 0.167068459663678	 0.0454282024722403	 0.00230898260474008	 
44000	 -387.611107861616	 21.1422675199509	 0.396021739130435	 1	 0.338078169864955	 0.10765511325578	 0.172916497161223	 0.267652797284282	 0.0307813714834166	 0.0208145152904168	 0.00175802863819816	 0.00554747136909436	 0.000556116623132805	 0.00401701805731056	 0.00243555806023085	 0.00308282467697393	 0.340081135322827	 0.427275406396649	 0.00387504799963369	 
46000	 -390.788745917418	 24.0568672733661	 0.394979166666667	 1	 0.366434308490778	 0.23713694287578	 0.20845806361701	 0.360106293293218	 0.110311595297668	 0.0606462762810935	 0.00146902048540649	 0.00122167867743945	 0.000845996603388359	 0.00187094621921769	 0.00176059289342793	 0.00637229998895011	 0.234229960102461	 0.119261380792889	 0.00202727102753628	 
48000	 -387.21264611369	 30.5267272728773	 0.39504	 1	 0.0861974030670542	 0.136916634418562	 0.165847874920772	 0.0291278325646991	 0.0250496174206726	 0.00888045336645017	 0.000778613345087254	 0.000940639851963207	 0.00186937048605758	 0.0192087933741084	 0.000103799601318364	 0.000622442689847009	 0.242771959599721	 0.0118639755924062	 0.00209188549171035	 
50000	 -389.123722425074	 25.3342680579282	 0.394365384615385	 1	 0.139086439030657	 0.172575223748652	 0.17567664967488	 0.0238755189088734	 0.115428101103573	 0.0165041304067033	 0.00670881211027858	 0.000733563808902914	 0.00905833452095321	 0.00495156903385166	 0.00186434692864913	 0.000470265114607345	 0.107705514784811	 0.0291938867920571	 0.00197967385572357	 
52000	 -392.639652342827	 23.6326021357238	 0.395222222222222	 1	 0.120139659778493	 0.169444460186563	 0.233990785958364	 0.00792528457311128	 0.00920004415969048	 0.0964674955292717	 0.00227535604953411	 0.0124699236544893	 0.00118535430636112	 0.000405708669406269	 0.00230435334479371	 0.0027320078541045	 0.318352516321315	 0.0852869676249137	 0.0065542651408681	 
54000	 -388.786060315666	 21.8590160239955	 0.394482142857143	 1	 0.203544055285591	 0.108066603458451	 0.164432084504166	 0.168135671174862	 0.0375833113991196	 0.0373054048304442	 0.00919582192130396	 0.000518431226693576	 0.00753729298614527	 0.00222536687044796	 9.81004441440117e-05	 0.00285520956855703	 0.379663887460569	 0.0567972700493386	 0.00734058377564163	 
56000	 -389.349051630802	 20.3071498142148	 0.39401724137931	 1	 0.202395690554883	 0.105830194435999	 0.166917355059008	 0.154830104667063	 0.0570206269206721	 0.0370170338815303	 0.00455441291045166	 0.00512108269094809	 0.0101068415769389	 0.00215937234300809	 0.00290390928625118	 0.00906427218720933	 0.408248747625971	 0.121862405756757	 0.00364061147215731	 
58000	 -390.448769942401	 26.697940480174	 0.393783333333333	 1	 0.0839865160551836	 0.16036553802949	 0.177497008748168	 0.0220539976700453	 0.0532127930564706	 0.0140582630430684	 0.00510165727004353	 0.0056747101698498	 0.000202533885392288	 0.00059154047703574	 0.00548083258338695	 0.00685310151947619	 0.167046006548073	 0.0472161454477746	 0.00370178133104163	 
60000	 -386.799448143132	 30.614136936159	 0.39458064516129	 1	 0.124603036959821	 0.100893257986066	 0.187962606397952	 0.0380348751805796	 0.00789980533038223	 0.00176487081093844	 0.000370738756890614	 0.000797824554064477	 0.00268210092660818	 0.0132298811940195	 5.61264957105587e-05	 0.00163472395405376	 0.217394511904382	 0.0232528393865659	 0.00295709339911009	 
62000	 -392.666532504176	 22.3504767283847	 0.39428125	 1	 0.212405389687808	 0.151935921401626	 0.209849622935208	 0.0653894542300223	 0.0313792517469333	 0.0784170644450777	 0.00141391302694207	 0.00886864365361341	 0.0059027457467049	 0.0043211588393222	 0.00224296248982296	 0.00417963122445998	 0.0998818991811505	 0.0747773473750886	 0.00712581155905896	 
64000	 -389.646442621427	 26.6752621810984	 0.393363636363636	 1	 0.0983793497341857	 0.112866662321398	 0.18187735810662	 0.0500238756786108	 0.0277347136030154	 0.0196990278047149	 6.66508126835167e-05	 0.00430957303956323	 0.00397823597689563	 0.00507238314084376	 0.000815156524011261	 0.00958550056237394	 0.223259070080699	 0.0242717849755239	 0.00435511091138768	 
66000	 -389.461600077825	 23.5459451782697	 0.394	 1	 0.126143730089618	 0.113601448434878	 0.182394440927889	 0.0883796278974338	 0.0640216871475252	 0.0110857306106248	 0.00535868166150741	 0.000721698803974422	 0.00261117823603613	 0.00408211135195883	 0.00189784607405725	 0.00778209426897077	 0.323374049188766	 0.0301357869325547	 0.00695853018087859	 
68000	 -386.970050819203	 22.7697474902082	 0.394157142857143	 1	 0.167360954795232	 0.142105235921807	 0.185774986261381	 0.105516579041439	 0.0423161069889149	 0.0128561246182497	 0.001836578164249	 0.00046492303008713	 0.0099242701844338	 0.00802381785455731	 0.00116740074311851	 0.00523644561644424	 0.450064705796319	 0.0823095355744709	 0.00412970875365171	 
